artist_name,artist_id,genres,followers,img_url,external_url
Periphery,6d24kC5fxHFOSEAmjQPPhc,"djent, melodic metalcore, progressive metal, progressive metalcore",485291,https://i.scdn.co/image/ab6761610000f178ae2304891734b9d9fafe1c8d,https://open.spotify.com/artist/6d24kC5fxHFOSEAmjQPPhc
Monuments,71IBhhBhtPLZ8OyVuXOw77,"djent, melodic metalcore, metalcore",159341,https://i.scdn.co/image/ab6761610000f178bb2c29ee05c6d734c4470dac,https://open.spotify.com/artist/71IBhhBhtPLZ8OyVuXOw77
TesseracT,23ytwhG1pzX6DIVWRWvW1r,"djent, progressive metal",311473,https://i.scdn.co/image/ab6761610000f178e7f6346ac85070065ea2368d,https://open.spotify.com/artist/23ytwhG1pzX6DIVWRWvW1r
The Contortionist,7nCgNmfYJcsVy3vOOzExYS,"djent, sci-fi metal",173105,https://i.scdn.co/image/ab6761610000f178472e002e5e613a22a83c7f8f,https://open.spotify.com/artist/7nCgNmfYJcsVy3vOOzExYS
Veil Of Maya,2i7CQcVBh2K6uOR3CH09M1,"deathcore, djent, melodic metalcore, metalcore, technical deathcore",285406,https://i.scdn.co/image/ab6761610000f1789f7d65d7aa5ca1c3d23b72fa,https://open.spotify.com/artist/2i7CQcVBh2K6uOR3CH09M1
Intervals,0xpJGyjbEzkWSNfcf2tcMl,"djent, instrumental djent, instrumental rock",195074,https://i.scdn.co/image/ab6761610000f17800a456b082157f4bd1882f52,https://open.spotify.com/artist/0xpJGyjbEzkWSNfcf2tcMl
Animals As Leaders,65C6Unk7nhg2aCnVuAPMo8,"djent, instrumental djent, instrumental rock, jazz metal, progressive jazz fusion, progressive metal",522029,https://i.scdn.co/image/ab6761610000f178720141a7b1a39da1cfa735a5,https://open.spotify.com/artist/65C6Unk7nhg2aCnVuAPMo8
Vildhjarta,0z4ODfFM8PGE0A9r0tZ75J,"djent, instrumental djent, thall",115522,https://i.scdn.co/image/ab6761610000f1782229f7eb4f07adad3419ca59,https://open.spotify.com/artist/0z4ODfFM8PGE0A9r0tZ75J
Haunted Shores,6Zebs0nwJt4EUs36wgFisx,"djent, instrumental rock",35685,https://i.scdn.co/image/ab6761610000f178d7a88ad8da2ef9d6849bce73,https://open.spotify.com/artist/6Zebs0nwJt4EUs36wgFisx
ERRA,2UoOdQyBGyzrEfxcY77ce0,"alabama metal, djent, melodic metalcore, metalcore, progressive metalcore",256658,https://i.scdn.co/image/ab6761610000f178706b4eb4746d2bfe6943de3e,https://open.spotify.com/artist/2UoOdQyBGyzrEfxcY77ce0
Born Of Osiris,4HgqjpBaWctBWVHafQIpRt,"deathcore, djent, melodic deathcore, melodic metalcore, metalcore, progressive metalcore, symphonic deathcore",319696,https://i.scdn.co/image/ab6761610000f1785dea11e3aff7891d1dc61d32,https://open.spotify.com/artist/4HgqjpBaWctBWVHafQIpRt
Between The Buried And Me,2JC4hZm1egeJDEolLsMwZ9,"djent, melodic metalcore, north carolina metal, progressive metal",265251,https://i.scdn.co/image/ab6761610000f17887fc314a9b6b9f18e6e32278,https://open.spotify.com/artist/2JC4hZm1egeJDEolLsMwZ9
Volumes,1DgmdsnwOexqTH8ohPCFAU,"deathcore, djent, melodic metalcore, metalcore, progressive metalcore",178286,https://i.scdn.co/image/ab6761610000f1785dec0f59ba6ebbc09f3311d2,https://open.spotify.com/artist/1DgmdsnwOexqTH8ohPCFAU
Protest The Hero,6z3BjfmgvDUIHaJ0UPTtrQ,"canadian metal, canadian post-hardcore, djent",198720,https://i.scdn.co/image/ab6761610000f1788df5e7ad475aeaaa865a54fe,https://open.spotify.com/artist/6z3BjfmgvDUIHaJ0UPTtrQ
Textures,6v9XKyEf4HKmUMr3D6weIO,"djent, dutch metal, progressive metal",68918,https://i.scdn.co/image/ab6761610000f178d2f6590d005aa373503e2fa4,https://open.spotify.com/artist/6v9XKyEf4HKmUMr3D6weIO
Skyharbor,0YbvZPP1HufDyWIsR0ei6K,"djent, indian metal",60966,https://i.scdn.co/image/ab6761610000f178303fee91dcecb34bbe33d63c,https://open.spotify.com/artist/0YbvZPP1HufDyWIsR0ei6K
After The Burial,0uNj4RxFjG0iVPlZS753en,"deathcore, djent, melodic metalcore, metalcore, minneapolis metal, progressive metalcore",296743,https://i.scdn.co/image/ab6761610000f178c9baa5bb3289f30bcb3363c9,https://open.spotify.com/artist/0uNj4RxFjG0iVPlZS753en
SikTh,03mz3G1gu1GPNgAWY4qR2w,djent,68627,https://i.scdn.co/image/ab6761610000f17869bd9c38c4edc3ef1736c649,https://open.spotify.com/artist/03mz3G1gu1GPNgAWY4qR2w
Bulb,2VD2tCp2pxWqsguRJUsSCB,djent,22146,https://i.scdn.co/image/ab6761610000f1789afc0ebf8a196aafeb62f101,https://open.spotify.com/artist/2VD2tCp2pxWqsguRJUsSCB
Plini,3Gs10XJ4S4OEFrMRqZJcic,"djent, instrumental math rock, instrumental rock, progressive jazz fusion",307713,https://i.scdn.co/image/ab6761610000f1787db8f5ef63701ec561a2109c,https://open.spotify.com/artist/3Gs10XJ4S4OEFrMRqZJcic
Jason Richardson,4fsZkYcSEUEvZK2tEjzrVY,"djent, shred",68165,https://i.scdn.co/image/ab6761610000f1782206b7175b3e2969d3c5c869,https://open.spotify.com/artist/4fsZkYcSEUEvZK2tEjzrVY
Uneven Structure,6ncfp4E8TXGnp6nYwBUwwj,"djent, thall",38692,https://i.scdn.co/image/ab67616d000048519c587d9f110d79646dad47d3,https://open.spotify.com/artist/6ncfp4E8TXGnp6nYwBUwwj
Kadinja,1MQvxiK7o7mpgtQM33l2F1,djent,29638,https://i.scdn.co/image/ab6761610000f178e7b378608273a14281c6144b,https://open.spotify.com/artist/1MQvxiK7o7mpgtQM33l2F1
Anup Sastry,0sCAofrHFyDFPxXA0B7a86,"djent, electronic djent, instrumental djent, instrumental rock",47429,https://i.scdn.co/image/ab67616d0000485153aa479fe9452dd195acc561,https://open.spotify.com/artist/0sCAofrHFyDFPxXA0B7a86
Circles,64j43wsW2L0NunoKT5wbKd,djent,26429,https://i.scdn.co/image/ab6761610000f178e39b4eee4c8406c11b475a1b,https://open.spotify.com/artist/64j43wsW2L0NunoKT5wbKd
Flux Conduct,2dfis6Lubbjjejzgm9FZ20,djent,10963,https://i.scdn.co/image/ab67616d00004851df233198d2ac9b7a24191683,https://open.spotify.com/artist/2dfis6Lubbjjejzgm9FZ20
Shokran,1DHGS6S7X2lF4cgEa9ErqC,"djent, russian metalcore",65415,https://i.scdn.co/image/ab6761610000f17844e239ee3b7b4a17f964af53,https://open.spotify.com/artist/1DHGS6S7X2lF4cgEa9ErqC
Modern Day Babylon,1KkwPJo8M1KmVs5qSlkxAa,"djent, instrumental djent, instrumental progressive metal",42075,https://i.scdn.co/image/ab67616d000048510e5e3a89c684deb132a7c97c,https://open.spotify.com/artist/1KkwPJo8M1KmVs5qSlkxAa
The HAARP Machine,2ziusta0GEeyx669s2Zmhg,djent,23768,https://i.scdn.co/image/ab6761610000f178a6fa72f444228e125d75bdc7,https://open.spotify.com/artist/2ziusta0GEeyx669s2Zmhg
Ghost Iris,0OG1DoaGFeeXGYBGbbCjka,"djent, metalcore, progressive metalcore",32764,https://i.scdn.co/image/ab6761610000f1781cf6323d6974da80618ed4db,https://open.spotify.com/artist/0OG1DoaGFeeXGYBGbbCjka
Olly Steele,2nqc3t3HgV2IyPEBkZg5ls,"djent, instrumental djent",17194,https://i.scdn.co/image/ab6761610000f17899bc9358da7852a71824200c,https://open.spotify.com/artist/2nqc3t3HgV2IyPEBkZg5ls
"Time, The Valuator",5XMVfR85CUqujqUkN9c9VQ,"djent, german metalcore",41945,https://i.scdn.co/image/ab6761610000f178d6013867e857742e3392d3ee,https://open.spotify.com/artist/5XMVfR85CUqujqUkN9c9VQ
Structures,7ym3CMfXJCuyIMf60Vm9Wm,"canadian metal, canadian metalcore, deathcore, djent, melodic metalcore, metalcore",51585,https://i.scdn.co/image/ab6761610000f178baf29fcc8dcc6f432551343b,https://open.spotify.com/artist/7ym3CMfXJCuyIMf60Vm9Wm
VOLA,1HQjBwlj8FSHMhVaNQ4tEI,"djent, progressive alternative, progressive metal",85825,https://i.scdn.co/image/ab6761610000f1780c9372f85a19d13a547f86f7,https://open.spotify.com/artist/1HQjBwlj8FSHMhVaNQ4tEI
Caligula's Horse,6Zd7AjXsoLaweP9FHyudVC,"djent, progressive metal",95444,https://i.scdn.co/image/ab6761610000f178fecee2debceb0d3c09f77827,https://open.spotify.com/artist/6Zd7AjXsoLaweP9FHyudVC
Earthside,6mRDRKsNautYuxybddnvgg,"djent, progressive metal",43125,https://i.scdn.co/image/ab6761610000f178cfe2006f0b5ffb4046477425,https://open.spotify.com/artist/6mRDRKsNautYuxybddnvgg
Scale The Summit,16Uqo1jjtPiKI4zU1Ficgb,"djent, instrumental math rock, instrumental progressive metal, instrumental rock, progressive jazz fusion",100813,https://i.scdn.co/image/ab6761610000f178c4e7dc0721948ff89cc014cd,https://open.spotify.com/artist/16Uqo1jjtPiKI4zU1Ficgb
David Maxim Micic,0wQa1N4q3HmLwxqkpVcYhs,djent,79845,https://i.scdn.co/image/ab6761610000f1786b134374297a469269e5323b,https://open.spotify.com/artist/0wQa1N4q3HmLwxqkpVcYhs
Haken,2SRIVGDkdqQnrQdaXxDkJt,progressive metal,209852,https://i.scdn.co/image/ab6761610000f178709c28ab620aff25f7584281,https://open.spotify.com/artist/2SRIVGDkdqQnrQdaXxDkJt
Leprous,4lgrzShsg2FLA89UM2fdO5,"norwegian metal, prog metal, progressive metal",241778,https://i.scdn.co/image/ab6761610000f1781039c96a8100bdeb579126af,https://open.spotify.com/artist/4lgrzShsg2FLA89UM2fdO5
Destiny Potato,67BmW9levzg3b6U3NWZKSB,djent,53270,https://i.scdn.co/image/ab67616d000048513e592560ea791e455c24caf3,https://open.spotify.com/artist/67BmW9levzg3b6U3NWZKSB
Good Tiger,4vIQLq68LtKcCjdvhobTYl,"djent, progressive post-hardcore",59189,https://i.scdn.co/image/ab6761610000f178b858139544e0051196915421,https://open.spotify.com/artist/4vIQLq68LtKcCjdvhobTYl
The Safety Fire,0IbaScpUWE6Wboz4o6X7xG,djent,26955,https://i.scdn.co/image/ab67616d000048511efce8d74fc8357479ebe7b9,https://open.spotify.com/artist/0IbaScpUWE6Wboz4o6X7xG
Corelia,2qZIkmNOwY6Z6fkhcqTRJB,djent,28330,https://i.scdn.co/image/ab67616d00004851882349befae771c3daddecef,https://open.spotify.com/artist/2qZIkmNOwY6Z6fkhcqTRJB
Mestís,3adhzSHzVWN1ICfxIqO9Cn,"djent, jazz metal, progressive jazz fusion",46883,https://i.scdn.co/image/ab6761610000f178ec4f65c16737797da4bf09d2,https://open.spotify.com/artist/3adhzSHzVWN1ICfxIqO9Cn
Disperse,2srZF49xeqWbN9srRp4JI6,djent,23902,https://i.scdn.co/image/ab6761610000f178f57556b83fa0af0c49da4d97,https://open.spotify.com/artist/2srZF49xeqWbN9srRp4JI6
The Faceless,1FQ6uth7icR6Jhla16K2vC,"avant-garde metal, brutal death metal, cosmic death metal, deathcore, djent, melodic metalcore, sci-fi metal, technical death metal, technical deathcore",136346,https://i.scdn.co/image/ab6761610000f178c348b98a839dd55941cd8a36,https://open.spotify.com/artist/1FQ6uth7icR6Jhla16K2vC
The Helix Nebula,5tjE7fMmvRra46r6Hz3aOA,"australian metal, djent, instrumental djent, instrumental rock",41015,https://i.scdn.co/image/ab67616d00004851a8d3579b47edc658f075ba48,https://open.spotify.com/artist/5tjE7fMmvRra46r6Hz3aOA
Within The Ruins,5mscNJ6lE9Kj7tWv4iCk7y,"deathcore, djent, melodic metalcore, metalcore",132604,https://i.scdn.co/image/ab6761610000f178099c302b31d002f7e155827c,https://open.spotify.com/artist/5mscNJ6lE9Kj7tWv4iCk7y
Oceano,79A0IUxQD9skV7LVjPq53s,"deathcore, djent, melodic metalcore, metalcore",165586,https://i.scdn.co/image/ab6761610000f178b818bf25b45f7af469bdec58,https://open.spotify.com/artist/79A0IUxQD9skV7LVjPq53s
